priority,route_id,tier,company_or_channel,segment,why_it_fits,public_route,source_url,proof_url,field_note_url,file_check_url,pilot_proof_url,message_variant,proof_hook,ask,status,next_step
11,b02-r11,overflow,Satelligence,EUDR cocoa and coffee coalition,Public coalition page focuses on coffee and cocoa EUDR challenges,public coalition page,https://satelligence.com/eudr-coffee-cocoa-coalitions/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r11,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r11,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r11,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r11,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer source-file cleanup before monitoring and coalition workflows,not_started,Send overflow variant
12,b02-r12,overflow,Meridia,EUDR data validation,Public EUDR page frames cocoa and coffee data to validated submission,public EUDR page,https://www.meridia.land/eudr,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r12,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r12,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r12,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r12,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer row-level cleanup before deeper farm-data validation,not_started,Send overflow variant
13,b02-r13,overflow,Geocledian,EUDR geospatial workflow,Public EUDR Check page covers geospatial data handling and workflows,public EUDR solution page,https://www.geocledian.com/solutions/eudr-compliance/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r13,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r13,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r13,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r13,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer CSV KML GeoJSON cleanup before geospatial risk workflow intake,not_started,Send overflow variant
14,b02-r14,overflow,LiveEO TradeAware,EUDR satellite and supply-chain platform,Public TradeAware page positions EUDR risk and supply-chain workflows,public product page,https://www.live-eo.com/product/tradeaware,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r14,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r14,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r14,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r14,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer pre-satellite farm file cleanup for bad coordinate handoffs,not_started,Send overflow variant
15,b02-r15,overflow,Sourcemap,EUDR supply-chain mapping platform,Public EUDR page depends on usable supplier and geolocation data,public EUDR solution page,https://www.sourcemap.com/solutions/eudr,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r15,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r15,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r15,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r15,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer Sourcemap-ready source file cleanup before platform import,not_started,Send overflow variant
16,b02-r16,overflow,osapiens,EUDR compliance platform,Public EUDR solution page depends on supplier and geolocation data quality,public EUDR solution page,https://osapiens.com/solutions/eudr/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r16,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r16,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r16,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r16,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer pre-platform file cleanup for small supplier packs,not_started,Send overflow variant
17,b02-r17,overflow,Koltiva,EUDR traceability platform,Public EUDR page covers traceability geolocation and supplier workflows,public EUDR solution page,https://www.koltiva.com/eudrcompliance,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r17,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r17,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r17,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r17,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer cleanup support for files that precede traceability workflow intake,not_started,Send overflow variant
18,b02-r18,overflow,Farmforce,farm-level traceability SaaS,Public EUDR article covers farm-level traceability data needs,public EUDR article,https://farmforce.com/articles/dont-forget-about-farm-level-traceability-why-its-essential-for-eudr-compliance/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r18,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r18,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r18,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r18,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer source-file cleanup for spreadsheet KML and GeoJSON handoffs,not_started,Send overflow variant
19,b02-r19,overflow,TraceX,EUDR traceability solution,Public EUDR solution page covers GPS verification and traceability workflows,public EUDR solution page,https://tracextech.com/eudr-compliance-solution/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r19,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r19,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r19,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r19,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer TraceX-ready file cleanup before system onboarding,not_started,Send overflow variant
20,b02-r20,overflow,Orbify,EUDR satellite monitoring platform,Public EUDR page covers satellite monitoring and reporting workflows,public EUDR solution page,https://nature.orbify.com/eudr-compliance,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r20,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r20,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r20,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r20,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer GeoJSON and KML cleanup before satellite-risk review,not_started,Send overflow variant
